10,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,
117,7519,,0.0,8070,34759069,,8071,32734116,,8071,32537238,,7519,,0.0,7519,,0.0,8071,31575205,,8529,,1.0,5520,14195361,,8271,11048971,
118,8519,,8.0,8071,34759097,,7529,,0.0,8070,32538386,,8519,,1.0,8519,,1.0,8070,31575521,,9529,,0.0,8171,14195361,,8270,11049044,
119,9519,,1.0,8070,34759177,,8529,,1.0,7519,,0.0,9519,,0.0,9519,,0.0,8071,31576000,,5520,18714815,,8271,14195361,,8070,11049317,
120,5521,31160239,,8071,34759196,,9529,,0.0,8519,,8.0,5521,32513255,,5521,3665005,,8070,31576052,,8171,18714815,,8270,14195434,,8071,11049360,
121,8071,31161447,,8070,34759389,,5520,32734117,,9519,,0.0,8071,32517206,,8071,3672615,,8071,31577720,,8271,18714815,,8070,14196913,,8070,11049397,
122,7529,,0.0,8170,34761308,,8171,32734118,,5521,32541808,,7529,,0.0,7529,,0.0,8070,31577866,,8270,18714888,,8170,14198362,,8071,11049654,
123,8529,,1.0,7071,34770018,,8271,32734118,,8071,35458674,,8529,,1.0,8529,,1.0,8071,31578430,,8070,18716363,,8071,14198585,,8070,11050563,
124,9529,,0.0,7070,34772703,,8270,32734191,,7529,,0.0,9529,,0.0,9529,,0.0,8070,31578868,,8071,18716681,,8070,14199074,,8170,11051972,
125,5520,31161448,,7519,,1.0,8070,32736004,,8529,,1.0,5520,32517207,,5520,3672616,,8071,31579071,,8070,18717158,,8071,14201661,,8071,11051982,
126,8171,31161449,,8519,,0.0,8170,32737119,,9529,,0.0,8171,32517207,,8171,3672616,,8070,31580836,,8170,18717816,,8070,14201870,,8070,11052211,
127,8271,31161449,,9519,,0.0,8071,32738690,,5520,35458675,,8271,32517207,,8271,3672616,,8071,31582183,,8071,18724698,,7519,,0.0,8071,11053050,
